H, NaN, KeyR, H, NaN, ShiftLeft, H, NaN, ControlLeft, DD, 8893, Period, UD, 15318, Period, H, 102, Period, DD, 103, KeyK, UD, 1, KeyK, H, 121, KeyK, DD, 122, Digit3, UD, 1, Digit3, H, 119, Digit3, DD, 119, KeyM, UD, 0, KeyM, H, 85, KeyM, DD, 86, KeyO, UD, 1, KeyO, H, 78, KeyO, DD, 78, KeyO, UD, 0, KeyO, H, 124, KeyO, DD, 125, KeyS, UD, 1, KeyS, H, 143, KeyS, DD, 144, KeyA, UD, 1, KeyA, H, 138, KeyA, DD, 138, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 101, KeyZ, UD, 0, KeyZ, H, 101, KeyZ, DD, 101, Enter, UD, 0, Enter
H, 120, Enter, DD, 227, Period, UD, 107, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 82, KeyK, DD, 82, Digit3, UD, 0, Digit3, H, 78, Digit3, DD, 78, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 107, KeyO, UD, 2, KeyO, H, 96, KeyO, DD, 96, KeyO, UD, 0, KeyO, H, 146, KeyO, DD, 149, KeyS, UD, 3, KeyS, H, 119, KeyS, DD, 120, KeyA, UD, 1, KeyA, H, 98, KeyA, DD, 98, KeyB, UD, 0, KeyB, H, 126, KeyB, DD, 128, KeyZ, UD, 2, KeyZ, H, 82, KeyZ, DD, 83, Enter, UD, 1, Enter
H, 139, Enter, DD, 12645, AltLeft, UD, 12506, AltLeft, DD, 35827, Period, UD, 48333, Period, H, 88, Period, DD, 88, KeyK, UD, 0, KeyK, H, 53, KeyK, DD, 53, Digit3, UD, 0, Digit3, H, 49, Digit3, DD, 49, KeyM, UD, 0, KeyM, H, 70, KeyM, DD, 70, KeyO, UD, 0, KeyO, H, 36, KeyO, DD, 36, KeyO, UD, 0, KeyO, H, 78, KeyO, DD, 79, KeyS, UD, 1, KeyS, H, 51, KeyS, DD, 52, KeyA, UD, 1, KeyA, H, 100, KeyA, DD, 100, KeyB, UD, 0, KeyB, H, 104, KeyB, DD, 104, KeyZ, UD, 0, KeyZ, H, 101, KeyZ, DD, 101, Enter, UD, 0, Enter
H, 38, Enter, DD, 152, Period, UD, 114, Period, H, 49, Period, DD, 50, KeyK, UD, 1, KeyK, H, 65, KeyK, DD, 65, Digit3, UD, 0, Digit3, H, 65, Digit3, DD, 65, KeyM, UD, 0, KeyM, H, 40, KeyM, DD, 40, KeyO, UD, 0, KeyO, H, 104, KeyO, DD, 105, KeyO, UD, 1, KeyO, H, 101, KeyO, DD, 101, KeyS, UD, 0, KeyS, H, 74, KeyS, DD, 75, KeyA, UD, 1, KeyA, H, 90, KeyA, DD, 91, KeyB, UD, 1, KeyB, H, 54, KeyB, DD, 55, KeyZ, UD, 1, KeyZ, H, 72, KeyZ, DD, 72, Enter, UD, 0, Enter
H, 51, Enter, DD, 151, Period, UD, 100, Period, H, 51, Period, DD, 51, KeyK, UD, 0, KeyK, H, 70, KeyK, DD, 71, Digit3, UD, 1, Digit3, H, 73, Digit3, DD, 73, KeyM, UD, 0, KeyM, H, 82, KeyM, DD, 83, KeyO, UD, 1, KeyO, H, 83, KeyO, DD, 83, KeyO, UD, 0, KeyO, H, 38, KeyO, DD, 38, KeyS, UD, 0, KeyS, H, 51, KeyS, DD, 51, KeyA, UD, 0, KeyA, H, 51, KeyA, DD, 52, KeyB, UD, 1, KeyB, H, 88, KeyB, DD, 88, KeyZ, UD, 0, KeyZ, H, 51, KeyZ, DD, 51, Enter, UD, 0, Enter
H, 41, Enter, DD, 146, Period, UD, 105, Period, H, 84, Period, DD, 84, KeyK, UD, 0, KeyK, H, 101, KeyK, DD, 101, Digit3, UD, 0, Digit3, H, 76, Digit3, DD, 76, KeyM, UD, 0, KeyM, H, 66, KeyM, DD, 66, KeyO, UD, 0, KeyO, H, 66, KeyO, DD, 66, KeyO, UD, 0, KeyO, H, 78, KeyO, DD, 78, KeyS, UD, 0, KeyS, H, 90, KeyS, DD, 90, KeyA, UD, 0, KeyA, H, 89, KeyA, DD, 89, KeyB, UD, 0, KeyB, H, 88, KeyB, DD, 89, KeyZ, UD, 1, KeyZ, H, 99, KeyZ, DD, 101, Enter, UD, 2, Enter
H, 51, Enter, DD, 146, Period, UD, 95, Period, H, 100, Period, DD, 100, KeyK, UD, 0, KeyK, H, 58, KeyK, DD, 61, Digit3, UD, 3, Digit3, H, 94, Digit3, DD, 94, KeyM, UD, 0, KeyM, H, 43, KeyM, DD, 44, KeyO, UD, 1, KeyO, H, 36, KeyO, DD, 36, KeyO, UD, 0, KeyO, H, 77, KeyO, DD, 77, KeyS, UD, 0, KeyS, H, 100, KeyS, DD, 100, KeyA, UD, 0, KeyA, H, 63, KeyA, DD, 63, KeyB, UD, 0, KeyB, H, 68, KeyB, DD, 69, KeyZ, UD, 1, KeyZ, H, 52, KeyZ, DD, 55, Enter, UD, 3, Enter
H, 101, Enter, DD, 202, Period, UD, 101, Period, H, 38, Period, DD, 38, KeyK, UD, 0, KeyK, H, 39, KeyK, DD, 39, Digit3, UD, 0, Digit3, H, 100, Digit3, DD, 100, KeyM, UD, 0, KeyM, H, 95, KeyM, DD, 96, KeyO, UD, 1, KeyO, H, 99, KeyO, DD, 99, KeyO, UD, 0, KeyO, H, 55, KeyO, DD, 56, KeyS, UD, 1, KeyS, H, 69, KeyS, DD, 70, KeyA, UD, 1, KeyA, H, 61, KeyA, DD, 61, KeyB, UD, 0, KeyB, H, 100, KeyB, DD, 100, KeyZ, UD, 0, KeyZ, H, 75, KeyZ, DD, 76, Enter, UD, 1, Enter
H, 54, Enter, DD, 157, Period, UD, 103, Period, H, 74, Period, DD, 74, KeyK, UD, 0, KeyK, H, 101, KeyK, DD, 101, Digit3, UD, 0, Digit3, H, 51, Digit3, DD, 51, KeyM, UD, 0, KeyM, H, 100, KeyM, DD, 101, KeyO, UD, 1, KeyO, H, 70, KeyO, DD, 72, KeyO, UD, 2, KeyO, H, 34, KeyO, DD, 35, KeyS, UD, 1, KeyS, H, 39, KeyS, DD, 40, KeyA, UD, 1, KeyA, H, 92, KeyA, DD, 93, KeyB, UD, 1, KeyB, H, 87, KeyB, DD, 88, KeyZ, UD, 1, KeyZ, H, 63, KeyZ, DD, 64, Enter, UD, 1, Enter
H, 54, Enter, DD, 154, Period, UD, 100, Period, H, 77, Period, DD, 78, KeyK, UD, 1, KeyK, H, 90, KeyK, DD, 90, Digit3, UD, 0, Digit3, H, 63, Digit3, DD, 64, KeyM, UD, 1, KeyM, H, 51, KeyM, DD, 51, KeyO, UD, 0, KeyO, H, 93, KeyO, DD, 94, KeyO, UD, 1, KeyO, H, 36, KeyO, DD, 36, KeyS, UD, 0, KeyS, H, 76, KeyS, DD, 76, KeyA, UD, 0, KeyA, H, 46, KeyA, DD, 48, KeyB, UD, 2, KeyB, H, 51, KeyB, DD, 51, KeyZ, UD, 0, KeyZ, H, 53, KeyZ, DD, 55, Enter, UD, 2, Enter
H, 91, Enter, DD, 190, Period, UD, 99, Period, H, 52, Period, DD, 52, KeyK, UD, 0, KeyK, H, 51, KeyK, DD, 51, Digit3, UD, 0, Digit3, H, 99, Digit3, DD, 99, KeyM, UD, 0, KeyM, H, 102, KeyM, DD, 102, KeyO, UD, 0, KeyO, H, 92, KeyO, DD, 92, KeyO, UD, 0, KeyO, H, 40, KeyO, DD, 41, KeyS, UD, 1, KeyS, H, 65, KeyS, DD, 66, KeyA, UD, 1, KeyA, H, 42, KeyA, DD, 43, KeyB, UD, 1, KeyB, H, 48, KeyB, DD, 48, KeyZ, UD, 0, KeyZ, H, 76, KeyZ, DD, 77, Enter, UD, 1, Enter
H, 62, Enter, DD, 172, Period, UD, 110, Period, H, 63, Period, DD, 63, KeyK, UD, 0, KeyK, H, 77, KeyK, DD, 77, Digit3, UD, 0, Digit3, H, 79, Digit3, DD, 81, KeyM, UD, 2, KeyM, H, 65, KeyM, DD, 67, KeyO, UD, 2, KeyO, H, 34, KeyO, DD, 34, KeyO, UD, 0, KeyO, H, 88, KeyO, DD, 89, KeyS, UD, 1, KeyS, H, 40, KeyS, DD, 41, KeyA, UD, 1, KeyA, H, 100, KeyA, DD, 100, KeyB, UD, 0, KeyB, H, 100, KeyB, DD, 100, KeyZ, UD, 0, KeyZ, H, 54, KeyZ, DD, 56, Enter, UD, 2, Enter
H, 98, Enter, DD, 200, Period, UD, 102, Period, H, 49, Period, DD, 49, KeyK, UD, 0, KeyK, H, 96, KeyK, DD, 97, Digit3, UD, 1, Digit3, H, 71, Digit3, DD, 71, KeyM, UD, 0, KeyM, H, 51, KeyM, DD, 51, KeyO, UD, 0, KeyO, H, 38, KeyO, DD, 38, KeyO, UD, 0, KeyO, H, 52, KeyO, DD, 52, KeyS, UD, 0, KeyS, H, 51, KeyS, DD, 51, KeyA, UD, 0, KeyA, H, 54, KeyA, DD, 55, KeyB, UD, 1, KeyB, H, 65, KeyB, DD, 66, KeyZ, UD, 1, KeyZ, H, 64, KeyZ, DD, 65, Enter, UD, 1, Enter
H, 91, Enter, DD, 189, Period, UD, 98, Period, H, 69, Period, DD, 69, KeyK, UD, 0, KeyK, H, 74, KeyK, DD, 74, Digit3, UD, 0, Digit3, H, 103, Digit3, DD, 104, KeyM, UD, 1, KeyM, H, 89, KeyM, DD, 89, KeyO, UD, 0, KeyO, H, 90, KeyO, DD, 91, KeyO, UD, 1, KeyO, H, 50, KeyO, DD, 50, KeyS, UD, 0, KeyS, H, 52, KeyS, DD, 52, KeyA, UD, 0, KeyA, H, 44, KeyA, DD, 45, KeyB, UD, 1, KeyB, H, 52, KeyB, DD, 54, KeyZ, UD, 2, KeyZ, H, 76, KeyZ, DD, 77, Enter, UD, 1, Enter
H, 78, Enter, DD, 177, Period, UD, 99, Period, H, 106, Period, DD, 107, KeyK, UD, 1, KeyK, H, 40, KeyK, DD, 41, Digit3, UD, 1, Digit3, H, 86, Digit3, DD, 86, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 106, KeyO, UD, 1, KeyO, H, 64, KeyO, DD, 64, KeyO, UD, 0, KeyO, H, 52, KeyO, DD, 53, KeyS, UD, 1, KeyS, H, 63, KeyS, DD, 63, KeyA, UD, 0, KeyA, H, 65, KeyA, DD, 65, KeyB, UD, 0, KeyB, H, 80, KeyB, DD, 80, KeyZ, UD, 0, KeyZ, H, 41, KeyZ, DD, 43, Enter, UD, 2, Enter
H, 88, Enter, DD, 193, Period, UD, 105, Period, H, 34, Period, DD, 35, KeyK, UD, 1, KeyK, H, 39, KeyK, DD, 39, Digit3, UD, 0, Digit3, H, 41, Digit3, DD, 42, KeyM, UD, 1, KeyM, H, 80, KeyM, DD, 81, KeyO, UD, 1, KeyO, H, 100, KeyO, DD, 101, KeyO, UD, 1, KeyO, H, 99, KeyO, DD, 99, KeyS, UD, 0, KeyS, H, 91, KeyS, DD, 91, KeyA, UD, 0, KeyA, H, 55, KeyA, DD, 56, KeyB, UD, 1, KeyB, H, 86, KeyB, DD, 86, KeyZ, UD, 0, KeyZ, H, 74, KeyZ, DD, 74, Enter, UD, 0, Enter
H, 51, Enter, DD, 153, Period, UD, 102, Period, H, 54, Period, DD, 55, KeyK, UD, 1, KeyK, H, 36, KeyK, DD, 36, Digit3, UD, 0, Digit3, H, 99, Digit3, DD, 100, KeyM, UD, 1, KeyM, H, 95, KeyM, DD, 96, KeyO, UD, 1, KeyO, H, 40, KeyO, DD, 41, KeyO, UD, 1, KeyO, H, 74, KeyO, DD, 74, KeyS, UD, 0, KeyS, H, 50, KeyS, DD, 50, KeyA, UD, 0, KeyA, H, 88, KeyA, DD, 88, KeyB, UD, 0, KeyB, H, 100, KeyB, DD, 100, KeyZ, UD, 0, KeyZ, H, 64, KeyZ, DD, 65, Enter, UD, 1, Enter
H, 50, Enter, DD, 150, Period, UD, 100, Period, H, 93, Period, DD, 94, KeyK, UD, 1, KeyK, H, 41, KeyK, DD, 42, Digit3, UD, 1, Digit3, H, 73, Digit3, DD, 73, KeyM, UD, 0, KeyM, H, 91, KeyM, DD, 91, KeyO, UD, 0, KeyO, H, 52, KeyO, DD, 53, KeyO, UD, 1, KeyO, H, 77, KeyO, DD, 78, KeyS, UD, 1, KeyS, H, 101, KeyS, DD, 102, KeyA, UD, 1, KeyA, H, 65, KeyA, DD, 66, KeyB, UD, 1, KeyB, H, 49, KeyB, DD, 49, KeyZ, UD, 0, KeyZ, H, 51, KeyZ, DD, 51, Enter, UD, 0, Enter
H, 89, Enter, DD, 189, Period, UD, 100, Period, H, 51, Period, DD, 51, KeyK, UD, 0, KeyK, H, 76, KeyK, DD, 76, Digit3, UD, 0, Digit3, H, 75, Digit3, DD, 75, KeyM, UD, 0, KeyM, H, 69, KeyM, DD, 69, KeyO, UD, 0, KeyO, H, 100, KeyO, DD, 100, KeyO, UD, 0, KeyO, H, 88, KeyO, DD, 89, KeyS, UD, 1, KeyS, H, 75, KeyS, DD, 75, KeyA, UD, 0, KeyA, H, 91, KeyA, DD, 91, KeyB, UD, 0, KeyB, H, 80, KeyB, DD, 81, KeyZ, UD, 1, KeyZ, H, 47, KeyZ, DD, 48, Enter, UD, 1, Enter
H, 63, Enter, DD, 166, Period, UD, 103, Period, H, 64, Period, DD, 64, KeyK, UD, 0, KeyK, H, 79, KeyK, DD, 80, Digit3, UD, 1, Digit3, H, 63, Digit3, DD, 63, KeyM, UD, 0, KeyM, H, 38, KeyM, DD, 38, KeyO, UD, 0, KeyO, H, 104, KeyO, DD, 105, KeyO, UD, 1, KeyO, H, 54, KeyO, DD, 55, KeyS, UD, 1, KeyS, H, 36, KeyS, DD, 37, KeyA, UD, 1, KeyA, H, 51, KeyA, DD, 51, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 102, KeyZ, UD, 1, KeyZ, H, 40, KeyZ, DD, 41, Enter, UD, 1, Enter
H, 90, Enter, DD, 189, Period, UD, 99, Period, H, 39, Period, DD, 39, KeyK, UD, 0, KeyK, H, 64, KeyK, DD, 64, Digit3, UD, 0, Digit3, H, 68, Digit3, DD, 69, KeyM, UD, 1, KeyM, H, 74, KeyM, DD, 74, KeyO, UD, 0, KeyO, H, 88, KeyO, DD, 88, KeyO, UD, 0, KeyO, H, 51, KeyO, DD, 51, KeyS, UD, 0, KeyS, H, 53, KeyS, DD, 54, KeyA, UD, 1, KeyA, H, 62, KeyA, DD, 62, KeyB, UD, 0, KeyB, H, 38, KeyB, DD, 38, KeyZ, UD, 0, KeyZ, H, 89, KeyZ, DD, 89, Enter, UD, 0, Enter
H, 51, Enter, DD, 155, Period, UD, 104, Period, H, 52, Period, DD, 54, KeyK, UD, 2, KeyK, H, 88, KeyK, DD, 89, Digit3, UD, 1, Digit3, H, 87, Digit3, DD, 87, KeyM, UD, 0, KeyM, H, 39, KeyM, DD, 39, KeyO, UD, 0, KeyO, H, 103, KeyO, DD, 104, KeyO, UD, 1, KeyO, H, 81, KeyO, DD, 81, KeyS, UD, 0, KeyS, H, 44, KeyS, DD, 45, KeyA, UD, 1, KeyA, H, 47, KeyA, DD, 47, KeyB, UD, 0, KeyB, H, 42, KeyB, DD, 43, KeyZ, UD, 1, KeyZ, H, 74, KeyZ, DD, 74, Enter, UD, 0, Enter
H, 50, Enter, DD, 157, Period, UD, 107, Period, H, 38, Period, DD, 38, KeyK, UD, 0, KeyK, H, 77, KeyK, DD, 78, Digit3, UD, 1, Digit3, H, 88, Digit3, DD, 89, KeyM, UD, 1, KeyM, H, 102, KeyM, DD, 102, KeyO, UD, 0, KeyO, H, 39, KeyO, DD, 39, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyS, UD, 0, KeyS, H, 64, KeyS, DD, 65, KeyA, UD, 1, KeyA, H, 80, KeyA, DD, 81, KeyB, UD, 1, KeyB, H, 72, KeyB, DD, 72, KeyZ, UD, 0, KeyZ, H, 65, KeyZ, DD, 66, Enter, UD, 1, Enter
H, 41, Enter, DD, 141, Period, UD, 100, Period, H, 100, Period, DD, 100, KeyK, UD, 0, KeyK, H, 79, KeyK, DD, 80, Digit3, UD, 1, Digit3, H, 87, Digit3, DD, 87, KeyM, UD, 0, KeyM, H, 66, KeyM, DD, 66, KeyO, UD, 0, KeyO, H, 66, KeyO, DD, 66, KeyO, UD, 0, KeyO, H, 53, KeyO, DD, 54, KeyS, UD, 1, KeyS, H, 63, KeyS, DD, 63, KeyA, UD, 0, KeyA, H, 75, KeyA, DD, 75, KeyB, UD, 0, KeyB, H, 51, KeyB, DD, 51, KeyZ, UD, 0, KeyZ, H, 64, KeyZ, DD, 64, Enter, UD, 0, Enter
H, 63, Enter, DD, 167, Period, UD, 104, Period, H, 37, Period, DD, 37, KeyK, UD, 0, KeyK, H, 88, KeyK, DD, 88, Digit3, UD, 0, Digit3, H, 104, Digit3, DD, 104, KeyM, UD, 0, KeyM, H, 68, KeyM, DD, 69, KeyO, UD, 1, KeyO, H, 100, KeyO, DD, 100, KeyO, UD, 0, KeyO, H, 102, KeyO, DD, 102, KeyS, UD, 0, KeyS, H, 63, KeyS, DD, 63, KeyA, UD, 0, KeyA, H, 80, KeyA, DD, 80, KeyB, UD, 0, KeyB, H, 99, KeyB, DD, 99, KeyZ, UD, 0, KeyZ, H, 51, KeyZ, DD, 52, Enter, UD, 1, Enter
H, 55, Enter, DD, 155, Period, UD, 100, Period, H, 93, Period, DD, 94, KeyK, UD, 1, KeyK, H, 36, KeyK, DD, 36, Digit3, UD, 0, Digit3, H, 79, Digit3, DD, 79, KeyM, UD, 0, KeyM, H, 102, KeyM, DD, 102, KeyO, UD, 0, KeyO, H, 47, KeyO, DD, 49, KeyO, UD, 2, KeyO, H, 46, KeyO, DD, 46, KeyS, UD, 0, KeyS, H, 41, KeyS, DD, 41, KeyA, UD, 0, KeyA, H, 100, KeyA, DD, 101, KeyB, UD, 1, KeyB, H, 79, KeyB, DD, 80, KeyZ, UD, 1, KeyZ, H, 60, KeyZ, DD, 60, Enter, UD, 0, Enter
H, 89, Enter, DD, 192, Period, UD, 103, Period, H, 90, Period, DD, 91, KeyK, UD, 1, KeyK, H, 39, KeyK, DD, 39, Digit3, UD, 0, Digit3, H, 102, Digit3, DD, 103, KeyM, UD, 1, KeyM, H, 90, KeyM, DD, 90, KeyO, UD, 0, KeyO, H, 91, KeyO, DD, 91, KeyO, UD, 0, KeyO, H, 67, KeyO, DD, 68, KeyS, UD, 1, KeyS, H, 66, KeyS, DD, 68, KeyA, UD, 2, KeyA, H, 75, KeyA, DD, 77, KeyB, UD, 2, KeyB, H, 40, KeyB, DD, 41, KeyZ, UD, 1, KeyZ, H, 41, KeyZ, DD, 44, Enter, UD, 3, Enter
H, 63, Enter, DD, 163, Period, UD, 100, Period, H, 99, Period, DD, 99, KeyK, UD, 0, KeyK, H, 43, KeyK, DD, 44, Digit3, UD, 1, Digit3, H, 85, Digit3, DD, 86, KeyM, UD, 1, KeyM, H, 54, KeyM, DD, 54, KeyO, UD, 0, KeyO, H, 68, KeyO, DD, 70, KeyO, UD, 2, KeyO, H, 47, KeyO, DD, 47, KeyS, UD, 0, KeyS, H, 93, KeyS, DD, 95, KeyA, UD, 2, KeyA, H, 48, KeyA, DD, 48, KeyB, UD, 0, KeyB, H, 103, KeyB, DD, 104, KeyZ, UD, 1, KeyZ, H, 40, KeyZ, DD, 41, Enter, UD, 1, Enter
H, 87, Enter, DD, 196, Period, UD, 109, Period, H, 49, Period, DD, 49, KeyK, UD, 0, KeyK, H, 63, KeyK, DD, 63, Digit3, UD, 0, Digit3, H, 102, Digit3, DD, 102, KeyM, UD, 0, KeyM, H, 88, KeyM, DD, 88, KeyO, UD, 0, KeyO, H, 39, KeyO, DD, 39, KeyO, UD, 0, KeyO, H, 68, KeyO, DD, 69, KeyS, UD, 1, KeyS, H, 101, KeyS, DD, 101, KeyA, UD, 0, KeyA, H, 103, KeyA, DD, 103, KeyB, UD, 0, KeyB, H, 92, KeyB, DD, 92, KeyZ, UD, 0, KeyZ, H, 50, KeyZ, DD, 52, Enter, UD, 2, Enter
H, 41, Enter, DD, 139, Period, UD, 98, Period, H, 68, Period, DD, 70, KeyK, UD, 2, KeyK, H, 64, KeyK, DD, 64, Digit3, UD, 0, Digit3, H, 92, Digit3, DD, 92, KeyM, UD, 0, KeyM, H, 98, KeyM, DD, 98, KeyO, UD, 0, KeyO, H, 68, KeyO, DD, 69, KeyO, UD, 1, KeyO, H, 38, KeyO, DD, 39, KeyS, UD, 1, KeyS, H, 39, KeyS, DD, 41, KeyA, UD, 2, KeyA, H, 48, KeyA, DD, 48, KeyB, UD, 0, KeyB, H, 76, KeyB, DD, 76, KeyZ, UD, 0, KeyZ, H, 105, KeyZ, DD, 106, Enter, UD, 1, Enter
H, 86, Enter, DD, 191, Period, UD, 105, Period, H, 41, Period, DD, 41, KeyK, UD, 0, KeyK, H, 105, KeyK, DD, 106, Digit3, UD, 1, Digit3, H, 52, Digit3, DD, 52, KeyM, UD, 0, KeyM, H, 91, KeyM, DD, 95, KeyO, UD, 4, KeyO, H, 36, KeyO, DD, 36, KeyO, UD, 0, KeyO, H, 99, KeyO, DD, 100, KeyS, UD, 1, KeyS, H, 40, KeyS, DD, 40, KeyA, UD, 0, KeyA, H, 66, KeyA, DD, 66, KeyB, UD, 0, KeyB, H, 40, KeyB, DD, 40, KeyZ, UD, 0, KeyZ, H, 82, KeyZ, DD, 84, Enter, UD, 2, Enter
H, 85, Enter, DD, 187, Period, UD, 102, Period, H, 100, Period, DD, 101, KeyK, UD, 1, KeyK, H, 39, KeyK, DD, 39, Digit3, UD, 0, Digit3, H, 81, Digit3, DD, 83, KeyM, UD, 2, KeyM, H, 54, KeyM, DD, 55, KeyO, UD, 1, KeyO, H, 52, KeyO, DD, 52, KeyO, UD, 0, KeyO, H, 75, KeyO, DD, 76, KeyS, UD, 1, KeyS, H, 63, KeyS, DD, 64, KeyA, UD, 1, KeyA, H, 99, KeyA, DD, 99, KeyB, UD, 0, KeyB, H, 90, KeyB, DD, 90, KeyZ, UD, 0, KeyZ, H, 41, KeyZ, DD, 43, Enter, UD, 2, Enter
H, 41, Enter, DD, 141, Period, UD, 100, Period, H, 88, Period, DD, 88, KeyK, UD, 0, KeyK, H, 43, KeyK, DD, 44, Digit3, UD, 1, Digit3, H, 97, Digit3, DD, 97, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 106, KeyO, UD, 1, KeyO, H, 47, KeyO, DD, 48, KeyO, UD, 1, KeyO, H, 65, KeyO, DD, 65, KeyS, UD, 0, KeyS, H, 88, KeyS, DD, 88, KeyA, UD, 0, KeyA, H, 51, KeyA, DD, 51, KeyB, UD, 0, KeyB, H, 63, KeyB, DD, 64, KeyZ, UD, 1, KeyZ, H, 75, KeyZ, DD, 75, Enter, UD, 0, Enter
H, 91, Enter, DD, 194, Period, UD, 103, Period, H, 43, Period, DD, 43, KeyK, UD, 0, KeyK, H, 52, KeyK, DD, 53, Digit3, UD, 1, Digit3, H, 99, Digit3, DD, 99, KeyM, UD, 0, KeyM, H, 87, KeyM, DD, 87, KeyO, UD, 0, KeyO, H, 64, KeyO, DD, 64, KeyO, UD, 0, KeyO, H, 65, KeyO, DD, 65, KeyS, UD, 0, KeyS, H, 103, KeyS, DD, 104, KeyA, UD, 1, KeyA, H, 63, KeyA, DD, 64, KeyB, UD, 1, KeyB, H, 102, KeyB, DD, 104, KeyZ, UD, 2, KeyZ, H, 89, KeyZ, DD, 91, Enter, UD, 2, Enter
H, 38, Enter, DD, 138, Period, UD, 100, Period, H, 41, Period, DD, 42, KeyK, UD, 1, KeyK, H, 78, KeyK, DD, 80, Digit3, UD, 2, Digit3, H, 101, Digit3, DD, 101, KeyM, UD, 0, KeyM, H, 63, KeyM, DD, 63, KeyO, UD, 0, KeyO, H, 68, KeyO, DD, 69, KeyO, UD, 1, KeyO, H, 99, KeyO, DD, 99, KeyS, UD, 0, KeyS, H, 43, KeyS, DD, 43, KeyA, UD, 0, KeyA, H, 99, KeyA, DD, 99, KeyB, UD, 0, KeyB, H, 69, KeyB, DD, 69, KeyZ, UD, 0, KeyZ, H, 66, KeyZ, DD, 68, Enter, UD, 2, Enter
H, 51, Enter, DD, 150, Period, UD, 99, Period, H, 100, Period, DD, 100, KeyK, UD, 0, KeyK, H, 42, KeyK, DD, 43, Digit3, UD, 1, Digit3, H, 66, Digit3, DD, 67, KeyM, UD, 1, KeyM, H, 97, KeyM, DD, 97, KeyO, UD, 0, KeyO, H, 51, KeyO, DD, 51, KeyO, UD, 0, KeyO, H, 81, KeyO, DD, 82, KeyS, UD, 1, KeyS, H, 52, KeyS, DD, 53, KeyA, UD, 1, KeyA, H, 103, KeyA, DD, 104, KeyB, UD, 1, KeyB, H, 86, KeyB, DD, 86, KeyZ, UD, 0, KeyZ, H, 99, KeyZ, DD, 99, Enter, UD, 0, Enter
H, 79, Enter, DD, 176, Period, UD, 97, Period, H, 101, Period, DD, 101, KeyK, UD, 0, KeyK, H, 77, KeyK, DD, 78, Digit3, UD, 1, Digit3, H, 54, Digit3, DD, 55, KeyM, UD, 1, KeyM, H, 65, KeyM, DD, 65, KeyO, UD, 0, KeyO, H, 68, KeyO, DD, 69, KeyO, UD, 1, KeyO, H, 61, KeyO, DD, 61, KeyS, UD, 0, KeyS, H, 100, KeyS, DD, 100, KeyA, UD, 0, KeyA, H, 76, KeyA, DD, 76, KeyB, UD, 0, KeyB, H, 68, KeyB, DD, 69, KeyZ, UD, 1, KeyZ, H, 79, KeyZ, DD, 81, Enter, UD, 2, Enter
H, 64, Enter, DD, 164, Period, UD, 100, Period, H, 101, Period, DD, 101, KeyK, UD, 0, KeyK, H, 69, KeyK, DD, 69, Digit3, UD, 0, Digit3, H, 85, Digit3, DD, 85, KeyM, UD, 0, KeyM, H, 52, KeyM, DD, 53, KeyO, UD, 1, KeyO, H, 50, KeyO, DD, 50, KeyO, UD, 0, KeyO, H, 56, KeyO, DD, 58, KeyS, UD, 2, KeyS, H, 74, KeyS, DD, 75, KeyA, UD, 1, KeyA, H, 93, KeyA, DD, 94, KeyB, UD, 1, KeyB, H, 63, KeyB, DD, 63, KeyZ, UD, 0, KeyZ, H, 63, KeyZ, DD, 63, Enter, UD, 0, Enter
H, 54, Enter, DD, 156, Period, UD, 102, Period, H, 53, Period, DD, 53, KeyK, UD, 0, KeyK, H, 91, KeyK, DD, 93, Digit3, UD, 2, Digit3, H, 99, Digit3, DD, 99, KeyM, UD, 0, KeyM, H, 75, KeyM, DD, 75, KeyO, UD, 0, KeyO, H, 64, KeyO, DD, 64, KeyO, UD, 0, KeyO, H, 107, KeyO, DD, 108, KeyS, UD, 1, KeyS, H, 63, KeyS, DD, 64, KeyA, UD, 1, KeyA, H, 76, KeyA, DD, 77, KeyB, UD, 1, KeyB, H, 87, KeyB, DD, 87, KeyZ, UD, 0, KeyZ, H, 77, KeyZ, DD, 78, Enter, UD, 1, Enter
H, 39, Enter, DD, 139, Period, UD, 100, Period, H, 52, Period, DD, 52, KeyK, UD, 0, KeyK, H, 88, KeyK, DD, 88, Digit3, UD, 0, Digit3, H, 51, Digit3, DD, 51, KeyM, UD, 0, KeyM, H, 90, KeyM, DD, 90, KeyO, UD, 0, KeyO, H, 53, KeyO, DD, 54, KeyO, UD, 1, KeyO, H, 87, KeyO, DD, 87, KeyS, UD, 0, KeyS, H, 77, KeyS, DD, 77, KeyA, UD, 0, KeyA, H, 38, KeyA, DD, 38, KeyB, UD, 0, KeyB, H, 66, KeyB, DD, 66, KeyZ, UD, 0, KeyZ, H, 43, KeyZ, DD, 44, Enter, UD, 1, Enter
