H, 131, Period, DD, 1017, KeyK, UD, 886, KeyK, H, 100, KeyK, DD, 160, Digit3, UD, 60, Digit3, H, 139, Digit3, DD, 309, KeyM, UD, 170, KeyM, H, 158, KeyM, DD, 727, KeyO, UD, 569, KeyO, H, 93, KeyO, DD, 156, KeyO, UD, 63, KeyO, H, 95, KeyO, DD, 923, KeyS, UD, 828, KeyS, H, 117, KeyS, DD, 301, KeyA, UD, 184, KeyA, H, 167, KeyA, DD, 1036, KeyB, UD, 869, KeyB, DD, 94, KeyZ, UD, 963, KeyZ, H, 70, KeyB, H, 146, KeyZ, DD, 1076, Enter, UD, 930, Enter
H, 85, Enter, DD, 1199, Period, UD, 1114, Period, H, 123, Period, DD, 1522, KeyK, UD, 1399, KeyK, H, 120, KeyK, DD, 168, Digit3, UD, 48, Digit3, H, 125, Digit3, DD, 901, KeyM, UD, 776, KeyM, H, 102, KeyM, DD, 299, KeyO, UD, 197, KeyO, H, 63, KeyO, DD, 130, KeyO, UD, 67, KeyO, H, 118, KeyO, DD, 989, KeyS, UD, 871, KeyS, DD, 61, KeyA, UD, 932, KeyA, H, 76, KeyS, H, 162, KeyA, DD, 271, KeyB, UD, 109, KeyB, H, 157, KeyB, DD, 381, KeyZ, UD, 224, KeyZ, H, 126, KeyZ, DD, 978, Enter, UD, 852, Enter
H, 165, Enter, DD, 603, Period, UD, 438, Period, H, 122, Period, DD, 296, KeyK, UD, 174, KeyK, H, 132, KeyK, DD, 183, Digit3, UD, 51, Digit3, H, 127, Digit3, DD, 241, KeyM, UD, 114, KeyM, H, 102, KeyM, DD, 178, KeyM, UD, 76, KeyM, H, 107, KeyM, DD, 355, KeyO, UD, 248, KeyO, H, 118, KeyO, DD, 195, KeyS, UD, 77, KeyS, H, 124, KeyS, DD, 239, KeyA, UD, 115, KeyA, H, 110, KeyA, DD, 161, KeyB, UD, 51, KeyB, DD, 102, KeyZ, UD, 153, KeyZ, H, 8, KeyB, H, 112, KeyZ, DD, 194, Enter, UD, 82, Enter
H, 156, Enter, DD, 294, Period, UD, 138, Period, H, 160, Period, DD, 2676, KeyK, UD, 2516, KeyK, H, 119, KeyK, DD, 136, Digit3, UD, 17, Digit3, H, 114, Digit3, DD, 126, KeyM, UD, 12, KeyM, H, 112, KeyM, DD, 262, KeyO, UD, 150, KeyO, H, 88, KeyO, DD, 151, KeyO, UD, 63, KeyO, H, 85, KeyO, DD, 128, KeyS, UD, 43, KeyS, H, 132, KeyS, DD, 447, KeyA, UD, 315, KeyA, H, 110, KeyA, DD, 126, KeyB, UD, 16, KeyB, H, 91, KeyB, DD, 167, KeyZ, UD, 76, KeyZ, DD, 129, Enter, UD, 205, Enter
H, 7, KeyZ, H, 158, Enter, DD, 344, Period, UD, 186, Period, H, 168, Period, DD, 770, KeyK, UD, 602, KeyK, H, 133, KeyK, DD, 459, Digit3, UD, 326, Digit3, H, 123, Digit3, DD, 198, KeyM, UD, 75, KeyM, H, 73, KeyM, DD, 559, KeyO, UD, 486, KeyO, H, 91, KeyO, DD, 164, KeyO, UD, 73, KeyO, H, 81, KeyO, DD, 330, KeyS, UD, 249, KeyS, H, 98, KeyS, DD, 238, KeyA, UD, 140, KeyA, H, 113, KeyA, DD, 143, KeyB, UD, 30, KeyB, H, 98, KeyB, DD, 143, KeyZ, UD, 45, KeyZ, H, 129, KeyZ, DD, 135, Enter, UD, 6, Enter
H, 155, Enter, DD, 320, Period, UD, 165, Period, H, 91, Period, DD, 1018, KeyK, UD, 927, KeyK, H, 94, KeyK, DD, 343, Digit3, UD, 249, Digit3, H, 121, Digit3, DD, 293, KeyM, UD, 172, KeyM, H, 89, KeyM, DD, 283, KeyO, UD, 194, KeyO, H, 77, KeyO, DD, 145, KeyO, UD, 68, KeyO, H, 105, KeyO, DD, 206, KeyS, UD, 101, KeyS, H, 131, KeyS, DD, 215, KeyA, UD, 84, KeyA, H, 119, KeyA, DD, 179, KeyB, UD, 60, KeyB, H, 88, KeyB, DD, 143, KeyZ, UD, 55, KeyZ, H, 123, KeyZ, DD, 205, Enter, UD, 82, Enter
H, 140, Enter, DD, 398, Period, UD, 258, Period, H, 146, Period, DD, 654, KeyK, UD, 508, KeyK, H, 116, KeyK, DD, 400, Digit3, UD, 284, Digit3, H, 108, Digit3, DD, 339, KeyM, UD, 231, KeyM, H, 120, KeyM, DD, 288, KeyO, UD, 168, KeyO, H, 101, KeyO, DD, 161, KeyO, UD, 60, KeyO, H, 104, KeyO, DD, 623, KeyS, UD, 519, KeyS, H, 123, KeyS, DD, 355, KeyA, UD, 232, KeyA, H, 139, KeyA, DD, 226, KeyB, UD, 87, KeyB, H, 84, KeyB, DD, 92, KeyZ, UD, 8, KeyZ, H, 119, KeyZ, DD, 216, Enter, UD, 97, Enter
H, 170, Enter, DD, 453, Period, UD, 283, Period, H, 163, Period, DD, 361, KeyK, UD, 198, KeyK, H, 121, KeyK, DD, 245, Digit3, UD, 124, Digit3, H, 110, Digit3, DD, 213, KeyM, UD, 103, KeyM, H, 105, KeyM, DD, 314, KeyO, UD, 209, KeyO, H, 89, KeyO, DD, 168, KeyO, UD, 79, KeyO, H, 95, KeyO, DD, 570, KeyS, UD, 475, KeyS, H, 102, KeyS, DD, 195, KeyA, UD, 93, KeyA, H, 95, KeyA, DD, 152, KeyB, UD, 57, KeyB, H, 87, KeyB, DD, 123, KeyZ, UD, 36, KeyZ, H, 114, KeyZ, DD, 159, Enter, UD, 45, Enter
H, 119, Enter, DD, 300, Period, UD, 181, Period, H, 178, Period, DD, 740, KeyK, UD, 562, KeyK, H, 102, KeyK, DD, 303, Digit3, UD, 201, Digit3, H, 108, Digit3, DD, 219, KeyM, UD, 111, KeyM, H, 98, KeyM, DD, 290, KeyO, UD, 192, KeyO, H, 81, KeyO, DD, 175, KeyO, UD, 94, KeyO, H, 94, KeyO, DD, 250, KeyS, UD, 156, KeyS, H, 119, KeyS, DD, 274, KeyA, UD, 155, KeyA, H, 102, KeyA, DD, 210, KeyB, UD, 108, KeyB, H, 91, KeyB, DD, 106, KeyZ, UD, 15, KeyZ, H, 110, KeyZ, DD, 241, Enter, UD, 131, Enter
H, 160, Enter, DD, 597, Period, UD, 437, Period, H, 118, Period, DD, 327, KeyK, UD, 209, KeyK, H, 114, KeyK, DD, 231, Digit3, UD, 117, Digit3, H, 114, Digit3, DD, 187, KeyM, UD, 73, KeyM, H, 110, KeyM, DD, 320, KeyO, UD, 210, KeyO, H, 79, KeyO, DD, 141, KeyO, UD, 62, KeyO, H, 116, KeyO, DD, 215, KeyS, UD, 99, KeyS, H, 118, KeyS, DD, 210, KeyA, UD, 92, KeyA, H, 105, KeyA, DD, 152, KeyB, UD, 47, KeyB, H, 94, KeyB, DD, 112, KeyZ, UD, 18, KeyZ, H, 125, KeyZ, DD, 179, Enter, UD, 54, Enter
H, 141, Enter, DD, 654, Period, UD, 513, Period, H, 115, Period, DD, 303, KeyK, UD, 188, KeyK, H, 108, KeyK, DD, 258, Digit3, UD, 150, Digit3, H, 117, Digit3, DD, 162, KeyM, UD, 45, KeyM, H, 123, KeyM, DD, 302, KeyO, UD, 179, KeyO, H, 86, KeyO, DD, 154, KeyO, UD, 68, KeyO, H, 103, KeyO, DD, 198, KeyS, UD, 95, KeyS, H, 111, KeyS, DD, 225, KeyA, UD, 114, KeyA, H, 99, KeyA, DD, 363, KeyB, UD, 264, KeyB, H, 143, KeyB, DD, 196, KeyZ, UD, 53, KeyZ, H, 135, KeyZ, DD, 163, Enter, UD, 28, Enter
H, 121, Enter, DD, 520, Period, UD, 399, Period, H, 138, Period, DD, 928, KeyK, UD, 790, KeyK, H, 120, KeyK, DD, 145, Digit3, UD, 25, Digit3, H, 101, Digit3, DD, 203, KeyM, UD, 102, KeyM, H, 67, KeyM, DD, 299, KeyO, UD, 232, KeyO, H, 87, KeyO, DD, 209, KeyO, UD, 122, KeyO, H, 77, KeyO, DD, 729, KeyS, UD, 652, KeyS, H, 91, KeyS, DD, 207, KeyA, UD, 116, KeyA, H, 86, KeyA, DD, 175, KeyB, UD, 89, KeyB, H, 100, KeyB, DD, 122, KeyZ, UD, 22, KeyZ, H, 98, KeyZ, DD, 182, Enter, UD, 84, Enter
H, 164, Enter, DD, 598, Period, UD, 434, Period, H, 121, Period, DD, 365, KeyK, UD, 244, KeyK, H, 104, KeyK, DD, 291, Digit3, UD, 187, Digit3, H, 112, Digit3, DD, 211, KeyM, UD, 99, KeyM, H, 122, KeyM, DD, 1029, KeyO, UD, 907, KeyO, H, 124, KeyO, DD, 200, KeyO, UD, 76, KeyO, H, 112, KeyO, DD, 187, KeyS, UD, 75, KeyS, H, 122, KeyS, DD, 732, KeyA, UD, 610, KeyA, H, 90, KeyA, DD, 129, KeyB, UD, 39, KeyB, H, 85, KeyB, DD, 118, KeyZ, UD, 33, KeyZ, H, 111, KeyZ, DD, 155, Enter, UD, 44, Enter
H, 123, Enter, DD, 485, Period, UD, 362, Period, H, 136, Period, DD, 295, KeyK, UD, 159, KeyK, H, 122, KeyK, DD, 221, Digit3, UD, 99, Digit3, H, 106, Digit3, DD, 441, KeyS, UD, 335, KeyS, H, 106, KeyS, DD, 2321, Enter, UD, 2215, Enter
H, 176, Enter, DD, 641, KeyK, UD, 465, KeyK, H, 101, KeyK, DD, 343, Digit3, UD, 242, Digit3, H, 130, Digit3, DD, 169, KeyM, UD, 39, KeyM, H, 120, KeyM, DD, 259, KeyO, UD, 139, KeyO, H, 91, KeyO, DD, 166, KeyO, UD, 75, KeyO, H, 107, KeyO, DD, 117, KeyS, UD, 10, KeyS, H, 133, KeyS, DD, 144, KeyA, UD, 11, KeyA, H, 135, KeyA, DD, 159, KeyB, UD, 24, KeyB, H, 122, KeyB, DD, 131, KeyZ, UD, 9, KeyZ, H, 127, KeyZ, DD, 180, Enter, UD, 53, Enter
H, 154, Enter, DD, 609, Period, UD, 455, Period, H, 123, Period, DD, 292, KeyK, UD, 169, KeyK, H, 124, KeyK, DD, 160, Digit3, UD, 36, Digit3, H, 122, Digit3, DD, 148, KeyM, UD, 26, KeyM, H, 113, KeyM, DD, 314, KeyO, UD, 201, KeyO, H, 69, KeyO, DD, 135, KeyO, UD, 66, KeyO, H, 101, KeyO, DD, 253, KeyS, UD, 152, KeyS, H, 118, KeyS, DD, 200, KeyA, UD, 82, KeyA, H, 104, KeyA, DD, 165, KeyB, UD, 61, KeyB, H, 87, KeyB, DD, 107, KeyZ, UD, 20, KeyZ, H, 118, KeyZ, DD, 148, Enter, UD, 30, Enter
H, 120, Enter, DD, 670, Period, UD, 550, Period, H, 102, Period, DD, 325, KeyK, UD, 223, KeyK, H, 131, KeyK, DD, 190, Digit3, UD, 59, Digit3, H, 132, Digit3, DD, 164, KeyM, UD, 32, KeyM, H, 112, KeyM, DD, 341, KeyO, UD, 229, KeyO, H, 90, KeyO, DD, 184, KeyO, UD, 94, KeyO, H, 91, KeyO, DD, 394, KeyS, UD, 303, KeyS, H, 113, KeyS, DD, 222, KeyA, UD, 109, KeyA, H, 101, KeyA, DD, 176, KeyB, UD, 75, KeyB, H, 97, KeyB, DD, 121, KeyZ, UD, 24, KeyZ, H, 116, KeyZ, DD, 147, Enter, UD, 31, Enter
H, 143, Enter, DD, 306, Period, UD, 163, Period, H, 174, Period, DD, 502, KeyK, UD, 328, KeyK, H, 115, KeyK, DD, 249, Digit3, UD, 134, Digit3, H, 138, Digit3, DD, 193, KeyM, UD, 55, KeyM, H, 119, KeyM, DD, 344, KeyO, UD, 225, KeyO, H, 102, KeyO, DD, 175, KeyO, UD, 73, KeyO, H, 103, KeyO, DD, 657, KeyS, UD, 554, KeyS, H, 102, KeyS, DD, 247, KeyA, UD, 145, KeyA, H, 128, KeyA, DD, 177, KeyB, UD, 49, KeyB, H, 119, KeyB, DD, 201, KeyZ, UD, 82, KeyZ, H, 124, KeyZ, DD, 225, Enter, UD, 101, Enter
H, 197, Enter, DD, 888, Period, UD, 691, Period, H, 135, Period, DD, 304, KeyK, UD, 169, KeyK, H, 114, KeyK, DD, 168, Digit3, UD, 54, Digit3, H, 118, Digit3, DD, 185, KeyM, UD, 67, KeyM, H, 101, KeyM, DD, 293, KeyO, UD, 192, KeyO, H, 93, KeyO, DD, 153, KeyO, UD, 60, KeyO, H, 110, KeyO, DD, 163, KeyS, UD, 53, KeyS, H, 105, KeyS, DD, 177, KeyA, UD, 72, KeyA, H, 120, KeyA, DD, 225, KeyB, UD, 105, KeyB, H, 91, KeyB, DD, 94, KeyZ, UD, 3, KeyZ, H, 132, KeyZ, DD, 184, Enter, UD, 52, Enter
H, 137, Enter, DD, 764, Period, UD, 627, Period, H, 94, Period, DD, 319, KeyK, UD, 225, KeyK, H, 108, KeyK, DD, 122, Digit3, UD, 14, Digit3, H, 119, Digit3, DD, 169, KeyM, UD, 50, KeyM, H, 107, KeyM, DD, 305, KeyO, UD, 198, KeyO, H, 70, KeyO, DD, 134, KeyO, UD, 64, KeyO, H, 124, KeyO, DD, 186, KeyS, UD, 62, KeyS, H, 139, KeyS, DD, 225, KeyA, UD, 86, KeyA, H, 114, KeyA, DD, 155, KeyB, UD, 41, KeyB, DD, 111, KeyZ, UD, 152, KeyZ, H, 6, KeyB, H, 119, KeyZ, DD, 199, Enter, UD, 80, Enter
H, 150, Enter, DD, 682, Period, UD, 532, Period, H, 124, Period, DD, 308, KeyK, UD, 184, KeyK, H, 133, KeyK, DD, 170, Digit3, UD, 37, Digit3, H, 118, Digit3, DD, 882, KeyM, UD, 764, KeyM, H, 124, KeyM, DD, 237, KeyO, UD, 113, KeyO, H, 87, KeyO, DD, 161, KeyO, UD, 74, KeyO, H, 97, KeyO, DD, 475, KeyS, UD, 378, KeyS, H, 120, KeyS, DD, 209, KeyA, UD, 89, KeyA, H, 104, KeyA, DD, 127, KeyB, UD, 23, KeyB, H, 95, KeyB, DD, 125, KeyZ, UD, 30, KeyZ, H, 97, KeyZ, DD, 142, Enter, UD, 45, Enter
H, 109, Enter, DD, 597, Period, UD, 488, Period, H, 124, Period, DD, 276, KeyK, UD, 152, KeyK, H, 119, KeyK, DD, 305, Digit3, UD, 186, Digit3, H, 117, Digit3, DD, 174, KeyM, UD, 57, KeyM, H, 123, KeyM, DD, 552, KeyO, UD, 429, KeyO, H, 91, KeyO, DD, 167, KeyO, UD, 76, KeyO, H, 101, KeyO, DD, 180, KeyS, UD, 79, KeyS, H, 129, KeyS, DD, 198, KeyA, UD, 69, KeyA, H, 128, KeyA, DD, 147, KeyB, UD, 19, KeyB, H, 98, KeyB, DD, 147, KeyZ, UD, 49, KeyZ, H, 113, KeyZ, DD, 141, Enter, UD, 28, Enter
H, 147, Enter, DD, 442, Period, UD, 295, Period, H, 130, Period, DD, 300, KeyK, UD, 170, KeyK, H, 110, KeyK, DD, 164, Digit3, UD, 54, Digit3, H, 124, Digit3, DD, 318, KeyM, UD, 194, KeyM, H, 119, KeyM, DD, 475, KeyO, UD, 356, KeyO, H, 87, KeyO, DD, 148, KeyO, UD, 61, KeyO, H, 99, KeyO, DD, 298, KeyS, UD, 199, KeyS, H, 114, KeyS, DD, 208, KeyA, UD, 94, KeyA, DD, 116, KeyB, UD, 210, KeyB, H, 12, KeyA, H, 108, KeyB, DD, 151, KeyZ, UD, 43, KeyZ, DD, 88, Enter, UD, 131, Enter
H, 46, KeyZ, H, 130, Enter, DD, 556, Period, UD, 426, Period, H, 145, Period, DD, 318, KeyK, UD, 173, KeyK, H, 105, KeyK, DD, 212, Digit3, UD, 107, Digit3, H, 133, Digit3, DD, 139, KeyM, UD, 6, KeyM, H, 114, KeyM, DD, 329, KeyO, UD, 215, KeyO, H, 72, KeyO, DD, 148, KeyO, UD, 76, KeyO, H, 130, KeyO, DD, 166, KeyS, UD, 36, KeyS, H, 134, KeyS, DD, 156, KeyA, UD, 22, KeyA, H, 130, KeyA, DD, 147, KeyB, UD, 17, KeyB, H, 86, KeyB, DD, 117, KeyZ, UD, 31, KeyZ, H, 108, KeyZ, DD, 142, Enter, UD, 34, Enter
H, 123, Enter, DD, 657, Period, UD, 534, Period, H, 128, Period, DD, 278, KeyK, UD, 150, KeyK, H, 118, KeyK, DD, 131, Digit3, UD, 13, Digit3, H, 131, Digit3, DD, 172, KeyM, UD, 41, KeyM, H, 109, KeyM, DD, 303, KeyO, UD, 194, KeyO, H, 77, KeyO, DD, 147, KeyO, UD, 70, KeyO, H, 110, KeyO, DD, 182, KeyS, UD, 72, KeyS, DD, 117, KeyA, UD, 189, KeyA, H, 18, KeyS, H, 128, KeyA, DD, 187, KeyB, UD, 59, KeyB, H, 83, KeyB, DD, 98, KeyZ, UD, 15, KeyZ, H, 105, KeyZ, DD, 162, Enter, UD, 57, Enter
H, 124, Enter, DD, 581, Period, UD, 457, Period, H, 157, Period, DD, 310, KeyK, UD, 153, KeyK, H, 121, KeyK, DD, 195, Digit3, UD, 74, Digit3, H, 119, Digit3, DD, 206, KeyM, UD, 87, KeyM, H, 122, KeyM, DD, 535, KeyO, UD, 413, KeyO, H, 76, KeyO, DD, 149, KeyO, UD, 73, KeyO, H, 93, KeyO, DD, 202, KeyS, UD, 109, KeyS, H, 115, KeyS, DD, 178, KeyA, UD, 63, KeyA, H, 118, KeyA, DD, 187, KeyB, UD, 69, KeyB, H, 88, KeyB, DD, 96, KeyZ, UD, 8, KeyZ, H, 108, KeyZ, DD, 174, Enter, UD, 66, Enter
H, 130, Enter, DD, 380, Period, UD, 250, Period, H, 126, Period, DD, 319, KeyM, UD, 193, KeyM, H, 123, KeyM, DD, 859, Enter, UD, 736, Enter
H, 128, Enter, DD, 696, Period, UD, 568, Period, H, 113, Period, DD, 247, KeyK, UD, 134, KeyK, H, 88, KeyK, DD, 211, Digit3, UD, 123, Digit3, H, 130, Digit3, DD, 248, KeyM, UD, 118, KeyM, H, 108, KeyM, DD, 278, KeyO, UD, 170, KeyO, H, 86, KeyO, DD, 142, KeyO, UD, 56, KeyO, H, 95, KeyO, DD, 133, KeyS, UD, 38, KeyS, DD, 122, KeyA, UD, 160, KeyA, H, 37, KeyS, H, 115, KeyA, DD, 148, KeyB, UD, 33, KeyB, H, 75, KeyB, DD, 115, KeyZ, UD, 40, KeyZ, H, 103, KeyZ, DD, 139, Enter, UD, 36, Enter
H, 124, Enter, DD, 999, Period, UD, 875, Period, H, 113, Period, DD, 294, KeyK, UD, 181, KeyK, H, 108, KeyK, DD, 139, Digit3, UD, 31, Digit3, H, 113, Digit3, DD, 468, KeyO, UD, 355, KeyO, H, 91, KeyO, DD, 151, KeyO, UD, 60, KeyO, H, 105, KeyO, DD, 160, KeyS, UD, 55, KeyS, H, 108, KeyS, DD, 157, KeyA, UD, 49, KeyA, H, 126, KeyA, DD, 135, KeyB, UD, 9, KeyB, H, 117, KeyB, DD, 149, KeyZ, UD, 32, KeyZ, H, 104, KeyZ, DD, 134, Enter, UD, 30, Enter
H, 120, Enter, DD, 732, Period, UD, 612, Period, H, 113, Period, DD, 1065, KeyK, UD, 952, KeyK, H, 104, KeyK, DD, 150, Digit3, UD, 46, Digit3, H, 165, Digit3, DD, 559, KeyM, UD, 394, KeyM, H, 103, KeyM, DD, 286, KeyO, UD, 183, KeyO, H, 80, KeyO, DD, 133, KeyO, UD, 53, KeyO, H, 108, KeyO, DD, 758, KeyS, UD, 650, KeyS, H, 114, KeyS, DD, 181, KeyA, UD, 67, KeyA, H, 119, KeyA, DD, 122, KeyB, UD, 3, KeyB, H, 103, KeyB, DD, 130, KeyZ, UD, 27, KeyZ, H, 110, KeyZ, DD, 153, Enter, UD, 43, Enter
H, 112, Enter, DD, 422, Period, UD, 310, Period, H, 152, Period, DD, 303, KeyK, UD, 151, KeyK, H, 111, KeyK, DD, 166, Digit3, UD, 55, Digit3, H, 128, Digit3, DD, 161, KeyM, UD, 33, KeyM, H, 102, KeyM, DD, 282, KeyO, UD, 180, KeyO, H, 69, KeyO, DD, 138, KeyO, UD, 69, KeyO, H, 96, KeyO, DD, 166, KeyS, UD, 70, KeyS, H, 131, KeyS, DD, 139, KeyA, UD, 8, KeyA, H, 137, KeyA, DD, 160, KeyB, UD, 23, KeyB, H, 81, KeyB, DD, 99, KeyZ, UD, 18, KeyZ, H, 125, KeyZ, DD, 140, Enter, UD, 15, Enter
H, 111, Enter, DD, 1025, Period, UD, 914, Period, H, 104, Period, DD, 265, KeyK, UD, 161, KeyK, H, 107, KeyK, DD, 164, Digit3, UD, 57, Digit3, H, 114, Digit3, DD, 228, KeyM, UD, 114, KeyM, H, 97, KeyM, DD, 307, KeyO, UD, 210, KeyO, H, 71, KeyO, DD, 136, KeyO, UD, 65, KeyO, H, 107, KeyO, DD, 154, KeyS, UD, 47, KeyS, DD, 141, KeyA, UD, 188, KeyA, H, 12, KeyS, H, 141, KeyA, DD, 159, KeyB, UD, 18, KeyB, H, 104, KeyB, DD, 119, KeyZ, UD, 15, KeyZ, H, 129, KeyZ, DD, 143, Enter, UD, 14, Enter
H, 104, Enter, DD, 433, Period, UD, 329, Period, H, 172, Period, DD, 346, KeyK, UD, 174, KeyK, H, 108, KeyK, DD, 179, Digit3, UD, 71, Digit3, H, 114, Digit3, DD, 326, KeyM, UD, 212, KeyM, H, 113, KeyM, DD, 249, KeyO, UD, 136, KeyO, H, 82, KeyO, DD, 139, KeyO, UD, 57, KeyO, H, 87, KeyO, DD, 172, KeyS, UD, 85, KeyS, H, 128, KeyS, DD, 131, KeyA, UD, 3, KeyA, H, 142, KeyA, DD, 206, KeyB, UD, 64, KeyB, DD, 87, KeyZ, UD, 151, KeyZ, H, 6, KeyB, H, 140, KeyZ, DD, 154, Enter, UD, 14, Enter
H, 113, Enter, DD, 409, Period, UD, 296, Period, H, 151, Period, DD, 334, KeyK, UD, 183, KeyK, H, 116, KeyK, DD, 180, Digit3, UD, 64, Digit3, H, 121, Digit3, DD, 188, KeyM, UD, 67, KeyM, H, 111, KeyM, DD, 295, KeyO, UD, 184, KeyO, H, 76, KeyO, DD, 142, KeyO, UD, 66, KeyO, H, 105, KeyO, DD, 199, KeyS, UD, 94, KeyS, H, 110, KeyS, DD, 187, KeyA, UD, 77, KeyA, H, 149, KeyA, DD, 152, KeyB, UD, 3, KeyB, H, 121, KeyB, DD, 308, KeyZ, UD, 187, KeyZ, DD, 127, Enter, UD, 314, Enter
H, 19, KeyZ, H, 120, Enter, DD, 834, Period, UD, 714, Period, H, 92, Period, DD, 265, KeyK, UD, 173, KeyK, H, 79, KeyK, DD, 171, Digit3, UD, 92, Digit3, H, 120, Digit3, DD, 154, KeyM, UD, 34, KeyM, H, 100, KeyM, DD, 272, KeyO, UD, 172, KeyO, H, 77, KeyO, DD, 119, KeyO, UD, 42, KeyO, H, 113, KeyO, DD, 165, KeyS, UD, 52, KeyS, H, 124, KeyS, DD, 130, KeyA, UD, 6, KeyA, H, 151, KeyA, DD, 191, KeyB, UD, 40, KeyB, H, 84, KeyB, DD, 105, KeyZ, UD, 21, KeyZ, H, 121, KeyZ, DD, 169, Enter, UD, 48, Enter
H, 119, Enter, DD, 973, Period, UD, 854, Period, H, 102, Period, DD, 226, KeyK, UD, 124, KeyK, H, 87, KeyK, DD, 352, Digit3, UD, 265, Digit3, H, 109, Digit3, DD, 185, KeyM, UD, 76, KeyM, H, 101, KeyM, DD, 272, KeyO, UD, 171, KeyO, H, 81, KeyO, DD, 135, KeyO, UD, 54, KeyO, H, 97, KeyO, DD, 144, KeyS, UD, 47, KeyS, H, 105, KeyS, DD, 123, KeyA, UD, 18, KeyA, H, 151, KeyA, DD, 208, KeyB, UD, 57, KeyB, H, 77, KeyB, DD, 101, KeyZ, UD, 24, KeyZ, H, 123, KeyZ, DD, 139, Enter, UD, 16, Enter
H, 100, Enter, DD, 650, Period, UD, 550, Period, H, 126, Period, DD, 280, KeyK, UD, 154, KeyK, H, 128, KeyK, DD, 268, Digit3, UD, 140, Digit3, H, 114, Digit3, DD, 181, KeyM, UD, 67, KeyM, H, 93, KeyM, DD, 278, KeyO, UD, 185, KeyO, H, 83, KeyO, DD, 148, KeyO, UD, 65, KeyO, H, 90, KeyO, DD, 173, KeyS, UD, 83, KeyS, H, 109, KeyS, DD, 199, KeyA, UD, 90, KeyA, H, 108, KeyA, DD, 270, KeyB, UD, 162, KeyB, H, 86, KeyB, DD, 123, KeyZ, UD, 37, KeyZ, H, 114, KeyZ, DD, 141, Enter, UD, 27, Enter
H, 106, Enter, DD, 848, Period, UD, 742, Period, H, 94, Period, DD, 344, KeyK, UD, 250, KeyK, H, 134, KeyK, DD, 184, Digit3, UD, 50, Digit3, H, 110, Digit3, DD, 176, KeyM, UD, 66, KeyM, H, 111, KeyM, DD, 222, KeyO, UD, 111, KeyO, H, 99, KeyO, DD, 192, KeyO, UD, 93, KeyO, H, 89, KeyO, DD, 801, KeyS, UD, 712, KeyS, H, 130, KeyS, DD, 278, KeyA, UD, 148, KeyA, H, 108, KeyA, DD, 173, KeyN, UD, 65, KeyN, H, 131, KeyN, DD, 134, KeyZ, UD, 3, KeyZ, H, 120, KeyZ, DD, 192, Enter, UD, 72, Enter
H, 37, Enter, DD, 1052, Period, UD, 1015, Period, H, 131, Period, DD, 349, KeyK, UD, 218, KeyK, H, 113, KeyK, DD, 361, Digit3, UD, 248, Digit3, DD, 100, KeyM, UD, 348, KeyM, H, 19, Digit3, H, 104, KeyM, DD, 451, KeyO, UD, 347, KeyO, H, 69, KeyO, DD, 132, KeyO, UD, 63, KeyO, H, 102, KeyO, DD, 193, KeyS, UD, 91, KeyS, H, 115, KeyS, DD, 169, KeyA, UD, 54, KeyA, H, 115, KeyA, DD, 155, KeyB, UD, 40, KeyB, H, 77, KeyB, DD, 137, KeyZ, UD, 60, KeyZ, H, 138, KeyZ, DD, 222, Enter, UD, 84, Enter
H, 103, Enter, DD, 560, Period, UD, 457, Period, H, 119, Period, DD, 629, KeyK, UD, 510, KeyK, H, 97, KeyK, DD, 244, Digit3, UD, 147, Digit3, H, 121, Digit3, DD, 182, KeyM, UD, 61, KeyM, H, 101, KeyM, DD, 317, KeyO, UD, 216, KeyO, H, 74, KeyO, DD, 142, KeyO, UD, 68, KeyO, H, 91, KeyO, DD, 224, KeyS, UD, 133, KeyS, H, 114, KeyS, DD, 212, KeyA, UD, 98, KeyA, H, 104, KeyA, DD, 140, KeyB, UD, 36, KeyB, H, 89, KeyB, DD, 198, KeyZ, UD, 109, KeyZ, H, 138, KeyZ, DD, 214, Enter, UD, 76, Enter
H, 114, Enter, DD, 380, Period, UD, 266, Period, H, 118, Period, DD, 1140, KeyK, UD, 1022, KeyK, H, 122, KeyK, DD, 380, Digit3, UD, 258, Digit3, H, 114, Digit3, DD, 174, KeyM, UD, 60, KeyM, H, 113, KeyM, DD, 276, KeyO, UD, 163, KeyO, H, 110, KeyO, DD, 555, KeyO, UD, 445, KeyO, H, 72, KeyO, DD, 312, KeyS, UD, 240, KeyS, H, 130, KeyS, DD, 207, KeyA, UD, 77, KeyA, H, 113, KeyA, DD, 179, KeyB, UD, 66, KeyB, H, 163, KeyB, DD, 236, KeyZ, UD, 73, KeyZ, H, 129, KeyZ, DD, 187, Enter, UD, 58, Enter
H, 91, Enter, DD, 915, Slash, UD, 824, Slash, H, 122, Slash, DD, 839, Enter, UD, 717, Enter
